disciplina;quantidade de turmas;total de vagas;qtdade. de solicitações;qtdade. de matrículas deferidas;qtdade. de matrículas indeferidas
BCJ0204-15;56;1848;1678;1611;12
BCJ0205-15;8;640;414;506;0
BCK0103-15;16;1040;795;859;1
BCL0306-15;24;1680;1615;1630;34
BCL0308-15;35;1400;867;949;0
BCM0504-15;20;1500;1664;1649;89
BCM0506-15;6;450;449;450;99
BCN0402-15;22;1650;1975;1874;165
BCN0404-15;20;1500;1791;1650;198
BCN0407-15;2;120;224;150;74
BCS0002-15;12;420;482;527;4
BHO0002-19;4;360;508;360;150
BHO0101-15;4;360;417;360;59
BHO1335-15;8;360;423;395;35
BHP0001-15;4;180;108;135;0
BHP0202-15;8;360;473;400;82
BHQ0002-15;4;250;173;231;28
BHQ0301-15;2;160;173;159;25
BHS0005-19;2;120;252;150;102
BIN0406-15;16;1200;851;949;0
BIQ0602-15;8;664;658;672;167
BIR0004-15;18;900;825;911;22
BIR0603-15;12;852;860;838;197
BIS0003-15;6;450;743;452;373
ESHC002-17;2;120;198;165;33
ESHC017-17;2;120;220;150;70
ESHC018-17;2;130;180;154;26
ESHC019-17;2;150;199;200;12
ESHC024-19;2;130;99;107;4
ESHC028-17;2;150;192;180;13
ESHC029-17;2;130;100;108;0
ESHC033-21;2;130;103;135;0
ESHC036-17;2;100;98;104;0
ESHC038-17;2;130;183;150;33
ESHP005-13;2;96;178;178;0
ESHP014-13;2;96;120;120;0
ESHP016-13;2;96;162;121;42
ESHP020-13;2;96;86;105;0
ESHP023-14;2;96;107;115;0
ESHP024-14;2;96;55;54;0
ESHP029-14;2;96;61;71;0
ESHR001-13;2;120;151;132;19
ESHR003-13;2;120;171;132;39
ESHR011-13;2;120;149;132;23
ESHR012-13;2;120;156;132;25
ESHR014-13;2;120;170;132;40
ESHR019-13;4;300;241;287;32
ESHR022-14;2;120;116;132;0
ESHR023-14;2;120;172;132;40
ESHR028-14;3;180;218;198;25
ESHR903-18;4;140;90;102;0
ESHT002-17;2;100;32;34;0
ESHT003-17;2;100;58;71;0
ESHT006-17;2;120;92;122;0
ESHT008-17;2;148;153;156;0
ESHT014-17;2;68;16;14;2
ESHT024-17;1;45;26;42;0
ESHT025-17;2;100;107;111;0
ESTA001-17;5;195;109;131;7
ESTA002-17;2;100;77;100;8
ESTA003-17;3;112;99;103;0
ESTA004-17;6;350;158;172;13
ESTA005-17;1;62;38;46;0
ESTA006-17;2;60;29;42;0
ESTA007-17;1;43;49;49;0
ESTA008-17;3;136;68;72;0
ESTA010-17;4;120;44;51;1
ESTA011-17;2;60;22;26;0
ESTA013-17;4;124;76;108;0
ESTA014-17;4;136;83;121;0
ESTA016-17;3;157;73;94;0
ESTA017-17;1;40;42;42;0
ESTA019-17;5;167;78;113;0
ESTA020-17;4;184;96;119;0
ESTA021-17;1;60;70;70;0
ESTA022-17;2;126;38;51;0
ESTA023-17;4;121;25;53;1
ESTB002-17;2;60;95;60;35
ESTB004-17;2;60;19;31;0
ESTB009-17;2;60;30;39;0
ESTB015-17;2;130;113;135;0
ESTB019-17;2;60;67;72;0
ESTB020-17;2;80;119;80;39
ESTB022-17;1;40;43;43;0
ESTB025-17;2;40;71;40;31
ESTB027-17;2;80;82;87;0
ESTB029-17;2;80;64;73;0
ESTE004-17;1;45;66;45;21
ESTE014-17;2;39;79;52;27
ESTE015-17;1;50;75;50;25
ESTE016-17;1;45;38;37;0
ESTE017-17;1;45;34;36;0
ESTE019-17;2;60;64;59;16
ESTE020-17;1;30;32;29;2
ESTE022-17;1;50;42;49;0
ESTE024-17;1;60;41;46;0
ESTE025-17;1;45;18;23;0
ESTE026-17;4;40;41;25;15
ESTE028-17;1;45;27;37;0
ESTE029-17;1;45;27;45;0
ESTE030-17;1;45;27;39;0
ESTE032-17;1;47;42;47;0
ESTE035-17;1;45;15;26;0
ESTE036-17;1;45;29;45;0
ESTG001-17;1;125;120;125;0
ESTG002-17;1;125;73;94;0
ESTG003-17;3;250;418;285;133
ESTG004-17;1;125;101;125;0
ESTG006-17;1;125;172;125;47
ESTG007-17;2;215;77;137;0
ESTG008-17;1;125;166;130;36
ESTG009-17;1;63;67;70;0
ESTG010-17;1;125;130;130;0
ESTG011-17;1;125;183;124;58
ESTG013-17;1;62;137;62;75
ESTG014-17;2;187;142;181;0
ESTG016-17;1;62;63;62;1
ESTG017-17;1;62;108;62;46
ESTG019-17;1;125;167;125;42
ESTG020-17;1;62;91;62;29
ESTG021-17;2;70;157;70;87
ESTG024-17;1;62;52;62;0
ESTI002-17;1;60;31;53;0
ESTI003-17;2;120;41;78;0
ESTI004-17;2;120;72;100;0
ESTI008-17;2;119;67;90;0
ESTI010-17;2;120;62;66;0
ESTI013-17;2;92;61;62;9
ESTI018-17;1;60;51;56;0
ESTM001-17;2;60;61;66;0
ESTM002-17;4;40;69;29;39
ESTM003-17;1;30;35;35;0
ESTM005-17;1;30;11;15;0
ESTM009-17;2;60;37;41;0
ESTM010-17;1;30;8;16;0
ESTM014-17;2;60;13;13;0
ESTM015-17;2;60;48;57;0
ESTM016-17;2;60;24;34;0
ESTM018-17;1;30;25;30;0
ESTM019-17;1;30;16;23;0
ESTO001-17;6;240;222;239;29
ESTO004-17;2;120;144;120;43
ESTO005-17;6;360;213;284;43
ESTO006-17;10;450;148;219;6
ESTO008-17;4;280;380;279;100
ESTO011-17;6;240;275;240;63
ESTO012-17;4;240;261;240;42
ESTO013-17;5;300;283;299;43
ESTO014-17;2;90;162;90;72
ESTO015-17;2;110;223;110;113
ESTO016-17;8;360;257;269;8
ESTO017-17;3;90;183;90;93
ESTO903-17;2;80;164;80;84
ESTS001-17;1;45;25;42;0
ESTS002-17;2;90;96;93;19
ESTS003-17;2;90;95;90;7
ESTS005-17;2;90;84;67;33
ESTS006-17;1;40;41;41;0
ESTS007-17;1;45;45;44;0
ESTS009-17;1;40;32;39;0
ESTS011-17;2;90;54;54;6
ESTS013-17;1;45;78;78;0
ESTS016-17;2;90;79;72;19
ESTS019-17;2;90;26;33;1
ESTU004-17;2;60;20;34;0
ESTU005-17;2;120;78;110;0
ESTU006-17;4;120;74;79;3
ESTU007-17;1;20;29;27;0
ESTU010-17;4;124;46;64;0
ESTU012-17;2;120;72;79;0
ESTU015-17;2;120;150;120;30
ESTU019-17;2;123;50;62;0
ESTU021-17;2;120;78;100;0
ESTU024-17;1;30;66;60;36
ESTU027-17;2;120;46;64;0
ESTU028-17;1;30;34;34;0
ESTU032-17;1;32;25;30;0
ESTU033-17;2;120;72;82;0
ESTU039-17;2;100;54;70;0
ESTU040-17;1;30;30;30;0
ESZA013-17;1;35;5;12;0
ESZA015-17;2;60;68;59;9
ESZA016-17;2;61;38;43;0
ESZA023-17;1;31;24;24;0
ESZB009-17;1;30;16;25;0
ESZB010-17;1;30;14;17;0
ESZB013-17;1;30;24;30;0
ESZB022-17;2;60;101;60;41
ESZC023-17;1;65;33;51;0
ESZE097-17;1;45;38;45;0
ESZE100-17;1;45;22;38;0
ESZE105-17;1;51;55;51;4
ESZE107-17;1;45;14;23;0
ESZE109-17;1;45;69;45;24
ESZE111-17;1;45;17;33;0
ESZG005-17;1;63;58;61;0
ESZG013-17;3;205;232;215;23
ESZG017-17;1;62;122;90;32
ESZG018-17;2;125;61;125;0
ESZG031-17;1;125;47;88;0
ESZG036-17;1;62;129;90;39
ESZG038-17;1;125;26;54;0
ESZG041-17;1;62;37;62;0
ESZI002-17;1;60;8;8;0
ESZI010-17;1;60;19;19;0
ESZI014-17;1;60;43;60;0
ESZI031-17;1;60;25;59;0
ESZI043-17;1;60;41;60;0
ESZI044-17;1;60;5;7;0
ESZM002-17;1;30;73;73;0
ESZM008-17;1;30;1;0;1
ESZM009-17;1;30;24;24;0
ESZM014-17;1;30;38;51;0
ESZM023-17;1;30;3;2;0
ESZM024-17;1;30;15;17;0
ESZM027-17;1;30;27;30;0
ESZM028-17;1;30;13;22;0
ESZM029-17;1;30;27;30;0
ESZM030-17;1;30;12;18;0
ESZM032-17;1;31;31;31;0
ESZM033-17;1;30;36;30;6
ESZM034-17;1;30;13;18;0
ESZM036-17;1;30;47;52;0
ESZM037-17;1;30;51;30;21
ESZM038-17;1;30;10;10;0
ESZM040-17;1;30;21;26;0
ESZP039-14;2;96;94;107;0
ESZP044-14;2;96;83;95;12
ESZR006-13;2;120;127;132;5
ESZR009-13;2;120;158;131;26
ESZR019-14;2;120;157;132;25
ESZS001-17;1;45;54;54;0
ESZS004-17;1;45;59;50;9
ESZS008-17;1;45;38;40;0
ESZS012-17;1;45;6;0;6
ESZS018-17;1;45;4;0;4
ESZS028-17;1;45;10;11;0
ESZS029-17;1;45;8;0;8
ESZS033-17;1;45;69;68;0
ESZT011-17;1;38;41;41;0
ESZT016-17;2;85;84;93;0
ESZU002-17;2;60;71;60;11
ESZU013-17;2;96;62;90;4
ESZU016-17;1;60;77;77;0
ESZU022-17;1;60;18;26;0
ESZU023-17;2;120;60;85;0
ESZU033-17;2;120;29;43;0
ESZU034-17;2;120;90;120;16
